
2007306039-2,02/04/2012,B63,DIEFSTAL MET GEWELD BROMFIETS/SNORFIETS,N,DISTRICT 10,TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,77 PENDRECHT,PLEIN 1953,ZO,09/09/2007,17:00,ZO,09/09/2007,17:00,2007,9,ZO,12:00-17:59,,SNORFIETS,TOMOS,A3,MEERKLEURIG
2008299823-4,22/11/2011,A73,DIEFSTAL BROMFIETS/SNORFIETS,N,DISTRICT 9,MAASHAVEN,ROTTERDAM,79 KOP VAN ZUID-ENTREPOT,STIELTJESSTRAAT,VR,01/07/2011,00:00,VR,22/11/2011,00:00,2011,9,ZO,00:00-05:59,,BROMFIETS,PEUGEOT,LUDIX,ONBEKEND
2008358886-3,07/05/2013,A73,DIEFSTAL BROMFIETS/SNORFIETS,N,DISTRICT 11,HELLEVOETSLUIS,HELLEVOETSLUIS,01 WITTENS HOECK,DE ZICHT,MA,01/01/2007,00:01,DI,28/10/2008,23:59,2007,11,VR,12:00-17:59,,BROMFIETS,PIAGGIO,ZIP RST 45 KM,MEERKLEURIG
2010055395-7,03/08/2011,A73,DIEFSTAL BROMFIETS/SNORFIETS,N,DISTRICT 11,SPIJKENISSE,SPIJKENISSE,02 HOOGWERF-ZUID,HYACINTHSTRAAT,VR,01/10/2010,00:00,ZO,31/10/2010,00:00,2010,10,ZA,00:00-05:59,,BROMFIETS,VESPA,SFERA,GRIJS
2010244584-1,01/09/2011,A72,DIEFSTAL FIETS,N,DISTRICT 6,CROOSWIJK,ROTTERDAM,36 NIEUW CROOSWIJK,VEILINGWEG,DO,01/09/2011,00:01,DO,01/09/2011,00:01,2011,9,DO,00:00-05:59,,,,,
2011000409-1,01/01/2011,A72,DIEFSTAL FIETS,N,DISTRICT 5,WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,31 BERGPOLDER,BERKELSELAAN,WO,29/12/2010,23:00,DO,30/12/2010,09:00,2010,12,DO,00:00-05:59,DAMES,FIETS,BATAVUS,HOLIDAY,BLAUW
2011000412-1,01/01/2011,A72,DIEFSTAL FIETS,N,DISTRICT 11,SPIJKENISSE,SPIJKENISSE,05 CENTRUM-OOST,NIEUWSTRAAT,DO,30/12/2010,17:00,DO,30/12/2010,21:45,2010,12,DO,18:00-23:59,HEREN,FIETS,GAZELLE,AVIGNON NR 57,GROEN
2011000416-1,01/01/2011,A72,DIEFSTAL FIETS,N,DISTRICT 11,SPIJKENISSE,SPIJKENISSE,05 CENTRUM-OOST,NIEUWSTRAAT,DO,30/12/2010,19:00,DO,30/12/2010,21:45,2010,12,DO,18:00-23:59,DAMES,FIETS,BATAVUS, ,CHROOMKLEURIG
2011000627-1,01/01/2011,A72,DIEFSTAL FIETS,N,DISTRICT 3,MARCONIPLEIN,ROTTERDAM,22 TUSSENDIJKEN,SCHIEDAMSEWEG,DO,30/12/2010,15:00,DO,30/12/2010,16:00,2010,12,DO,12:00-17:59,HEREN,FIETS,GAZELLE,0,GROEN
2011000878-1,01/01/2011,A72,DIEFSTAL FIETS,N,DISTRICT 11,SPIJKENISSE,SPIJKENISSE,06 KREKEN,PAALSPORENKREEK,ZA,01/01/2011,00:00,ZA,01/01/2011,02:30,2011,1,ZA,00:00-05:59,DAMES,FIETS,GIANT,COSMO CS1 LDS L,ZILVERKLEURIG
2011000909-1,01/01/2011,A73,DIEFSTAL BROMFIETS/SNORFIETS,N,DISTRICT 10,TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,70 CHARLOIS-ZUIDRAND,CHARLOISSE LAGEDIJK,ZA,01/01/2011,16:00,ZA,01/01/2011,19:00,2011,1,ZA,12:00-17:59,,BROMFIETS,GILERA,C36,MEERKLEURIG
2011001350-1,02/01/2011,A73,DIEFSTAL BROMFIETS/SNORFIETS,N,DISTRICT 6,CAPELLE,CAPELLE AAN DEN IJSSEL,02 SCHERMERHOEK,SCHERMERHOEK,ZO,02/01/2011,18:15,ZO,02/01/2011,19:00,2011,1,ZO,18:00-23:59,,BROMFIETS,SYM,AV05W,MEERKLEURIG
2011001578-1,03/01/2011,A72,DIEFSTAL FIETS,N,DISTRICT 6,CROOSWIJK,ROTTERDAM,37 OUD CROOSWIJK,CROOSWIJKSESTRAAT,MA,15/11/2010,16:20,MA,15/11/2010,17:45,2010,11,MA,12:00-17:59,DAMES,FIETS,SPARTA,ION,GRIJS
